艺术品分类名称,分类类型
全部,
中国绘画,0218
中国书法,0219
篆刻艺术,0220
建筑艺术,0221
日本绘画,0223
装置艺术,0224
唐卡艺术,0226
工艺美术,0227
民间艺术,0228
装饰画,0230
金石碑拓,0231
中国年画,0232
陶瓷工艺,0233
佛教艺术,0234
汉画像石（砖）,0235
水粉画,0236
其他艺术,0237
敦煌艺术,0238
宗教艺术,0239
石渠宝笈名作珍赏,0240
三希堂法帖,0241
青铜器,0242
玉石珠宝,0243
百年党庆,0244
因书而美,0245
阅读之美,0246
摄影艺术,0247
朝鲜艺术,0248
地理舆图,0249
服饰艺术,0250
金银器艺术,0251
玻璃艺术,0252
钱币艺术,0253
家具艺术,0254
漆器艺术,0255
纺织艺术,0256
故宫名画记,0257
历代绘画大系,0258
综合材料绘画,0203
版画艺术,0204
水彩画,0205
油画艺术,0208
壁画艺术,0209
插漫画,0212
素描艺术,0213
雕塑雕刻,0217
